order_id,line_index,sku,dc,pgi,demand,cpp,unit_revenue,filled,pallets,loose_cases,shortfall_cases,revenue,penalty
5485597603,20820,12408875,5773,2024-06-26,48,128,204.45833333333334,48.0,0.0,48.0,0.0,9814.0,0.0
5485597603,20821,12573457,5773,2024-06-26,3,128,44.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
5485597603,20822,12485232,5773,2024-06-26,2,105,37.5,0.0,0.0,0.0,0.0,0.0,0.0
5485597603,20823,12524433,5773,2024-06-26,4,128,112.75,0.0,0.0,0.0,0.0,0.0,0.0
5485597603,20824,12591187,5773,2024-06-26,219,128,36.08675799086758,219.0,1.0,91.0,0.0,7903.000000000001,0.0
5485597603,20825,12591198,5773,2024-06-26,3,128,56.666666666666664,3.0,0.0,3.0,0.0,170.0,0.0
5485597603,20826,12527241,5773,2024-06-26,1,128,153.0,1.0,0.0,1.0,0.0,153.0,0.0
5485597603,20827,12560614,5773,2024-06-26,14,128,48.357142857142854,14.0,0.0,14.0,0.0,677.0,0.0
5485597603,20828,12567750,5773,2024-06-26,494,136,29.76923076923077,494.0,3.0,86.0,0.0,14706.0,0.0
5485597603,20829,12504650,5773,2024-06-26,128,128,38.078125,127.0,0.0,127.0,0.0,4835.921875,0.0
5485597603,20830,12498403,5773,2024-06-26,41,210,100.14634146341463,41.0,0.0,41.0,0.0,4106.0,0.0
5485597603,20831,12584376,5773,2024-06-26,48,128,38.208333333333336,48.0,0.0,48.0,0.0,1834.0,0.0
5485456896,20465,12535161,5083,2024-06-26,10,128,207.9,10.0,0.0,10.0,0.0,2079.0,0.0
5485456896,20466,12260382,5083,2024-06-26,20,120,47.9,20.0,0.0,20.0,0.0,958.0,0.0
5485456896,20467,12524424,5083,2024-06-26,6,128,98.33333333333333,0.0,0.0,0.0,6.0,0.0,88.49999999999999
5485456896,20468,12504639,5083,2024-06-26,144,128,28.73611111111111,144.0,1.0,16.0,0.0,4138.0,0.0
5485456896,20469,12500751,5083,2024-06-26,66,128,85.5909090909091,0.0,0.0,0.0,66.0,0.0,847.3499999999999
5485456896,20470,12535136,5083,2024-06-26,31,128,213.93548387096774,31.0,0.0,31.0,0.0,6632.0,0.0
5485456896,20471,12551058,5083,2024-06-26,1,105,38.0,1.0,0.0,1.0,0.0,38.0,0.0
5485456896,20472,12510902,5083,2024-06-26,8,128,42.75,8.0,0.0,8.0,0.0,342.0,0.0
5485456896,20473,12352104,5083,2024-06-26,10,60,161.0,10.0,0.0,10.0,0.0,1610.0,0.0
5485456896,20474,12502285,5083,2024-06-26,144,128,28.583333333333332,144.0,1.0,16.0,0.0,4116.0,0.0
5485456896,20475,9517630,5083,2024-06-26,2,160,64.5,2.0,0.0,2.0,0.0,129.0,0.0
5485456896,20476,12409676,5083,2024-06-26,47,128,214.19148936170214,47.0,0.0,47.0,0.0,10067.0,0.0
5485456896,20477,12575290,5083,2024-06-26,43,105,28.069767441860463,43.0,0.0,43.0,0.0,1207.0,0.0
5485456896,20478,12152904,5083,2024-06-26,16,240,40.0625,16.0,0.0,16.0,0.0,641.0,0.0
5485456896,20479,12493314,5083,2024-06-26,39,128,88.2051282051282,39.0,0.0,39.0,0.0,3440.0,0.0
5485456896,20480,12591220,5083,2024-06-26,15,128,36.06666666666667,15.0,0.0,15.0,0.0,541.0,0.0
5485456896,20481,12451640,5083,2024-06-26,1,128,89.0,1.0,0.0,1.0,0.0,89.0,0.0
5485456896,20482,12591211,5083,2024-06-26,34,128,52.8235294117647,34.0,0.0,34.0,0.0,1796.0,0.0
